"","date_tag","Y","M","D"
"1","2002-6-early",2002,6,6
"2","2002-6-late",2002,6,26
"3","2002-7-early",2002,7,12
"4","2002-7-late",2002,7,29
"5","2002-8-early",2002,8,9
"6","2002-8-late",2002,8,23
"7","2002-9-early",2002,9,10
"8","2002-9-late",2002,9,26
"9","2002-10-early",2002,10,10
"10","2002-10-late",2002,10,23
"11","2002-11-early",2002,11,6
"12","2002-11-late",2002,11,27
"13","2002-12-early",2002,12,11
"14","2002-12-late",2002,12,31
"15","2003-1-early",2003,1,6
"16","2003-1-late",2003,1,16
"17","2003-2-early",2003,2,2
"18","2003-2-late",2003,2,14
"19","2003-3-early",2003,3,15
"20","2003-3-late",2003,3,27
"21","2003-4-early",2003,4,9
"22","2003-4-late",2003,4,17
"23","2003-5-early",2003,5,11
"24","2003-5-late",2003,5,24
"25","2003-6-early",2003,6,6
"26","2003-6-late",2003,6,28
"27","2003-7-early",2003,7,9
"28","2003-7-late",2003,7,29
"29","2003-8-early",2003,8,5
"30","2003-8-late",2003,8,25
"31","2003-9-early",2003,9,10
"32","2003-9-late",2003,9,28
"33","2003-10-early",2003,10,9
"34","2003-10-late",2003,10,23
"35","2003-11-early",2003,11,13
"36","2003-11-late",2003,11,25
"37","2003-12-early",2003,12,4
"38","2003-12-late",2003,12,22
"39","2004-1-early",2004,1,5
"40","2004-1-late",2004,1,20
"41","2004-2-early",2004,1,31
"42","2004-2-late",2004,2,15
"43","2004-3-early",2004,3,8
"44","2004-3-late",2004,3,22
"45","2004-4-early",2004,4,6
"46","2004-4-late",2004,4,28
"47","2004-5-early",2004,5,14
"48","2004-5-late",2004,5,28
"49","2004-6-early",2004,6,3
"50","2004-6-late",2004,6,23
"51","2004-7-early",2004,7,5
"52","2004-7-late",2004,7,27
"53","2004-8-early",2004,8,2
"54","2004-8-late",2004,8,26
"55","2004-9-early",2004,9,12
"56","2004-9-late",2004,9,27
"57","2004-10-early",2004,10,11
"58","2004-10-late",2004,10,28
"59","2004-11-early",2004,11,8
"60","2004-11-late",2004,11,22
"61","2004-12-early",2004,12,13
"62","2004-12-late",2004,12,29
"63","2005-1-early",2005,1,5
"64","2005-1-late",2005,1,15
"65","2005-2-early",2005,2,7
"66","2005-2-late",2005,2,14
"67","2005-3-early",2005,3,14
"68","2005-3-late",2005,3,28
"69","2005-4-early",2005,4,5
"70","2005-4-late",2005,4,22
"71","2005-5-early",2005,5,3
"72","2005-5-late",2005,5,27
"73","2005-6-early",2005,6,6
"74","2005-6-late",2005,6,21
"75","2005-7-early",2005,7,7
"76","2005-7-late",2005,7,26
"77","2005-8-early",2005,8,3
"78","2005-8-late",2005,8,19
"79","2005-8-early",2005,8,31
"80","2005-9-late",2005,9,21
"81","2005-10-early",2005,10,8
"82","2005-10-late",2005,10,25
"83","2005-11-early",2005,10,31
"84","2005-11-late",2005,11,24
"85","2005-12-early",2005,11,30
