"","surf.t","bot.t"
"1",22,19
"2",21,21
"3",25,22
"4",30,24
"5",28,25
"6",25.6,25.5
"7",26.5,25.7
"8",24,24.3
"9",23,22.5
"10",19.4,21.5
"11",17.2,18
"12",13,14.4
"13",11,14.5
"14",12.55,13.5
"15",6.8,13.5
"16",11,12.2
"17",5.8,11.5
"18",8.2,10.8
"19",7.5,10.1
"20",12,10.1
"21",11,10.5
"22",16.5,10.6
"23",16.8,13.4
"24",15.9,14.7
"25",20.5,16.5
"26",22.5,19.5
"27",23,20.5
"28",23.6,22
"29",26.5,22.5
"30",27.2,23.5
"31",27.5,24.3
"32",22.2,23.5
"33",21.9,22
"34",19.5,19.5
"35",15.3,18.9
"36",15.4,17.4
"37",13,17.4
"38",11.7,14.4
"39",9.4,14
"40",10.5,12.3
"41",10.3,12
"42",10.4,11.4
"43",9.5,12
"44",12.1,12.4
"45",14.2,13
"46",16,15
"47",18.5,16
"48",21,17.7
"49",23.9,19
"50",24.9,20
"51",29,21.6
"52",31.1,26.5
"53",29.3,25.7
"54",28.9,27.5
"55",27,25.5
"56",25,25
"57",23.4,24.5
"58",19.9,21.6
"59",21.6,21
"60",18.3,20.1
"61",16.8,18
"62",12.4,16
"63",9.5,16
"64",14.1,15.1
"65",8.4,13.6
"66",10.6,12.9
"67",10.2,12.5
"68",11.8,12
"69",14.7,12.1
"70",15.5,14
"71",19.3,15
"72",20.4,16.9
"73",21.4,18.8
"74",25.1,19.9
"75",26.9,24
"76",27,26.9
"77",30.1,24.7
"78",29.9,28.5
"79",29.9,28.1
"80",25.8,24.9
"81",23.5,23
"82",20.7,21.5
"83",20.9,21.1
"84",17.2,19.4
"85",17.1,18.4
"86",5.2,14.5
"87",10.5,13.5
"88",8,12.5
"89",10,11.8
"90",11.4,11.3
"91",12.1,10.9
"92",10.7,11.1
"93",11.9,11.9
"94",15.1,12.9
"95",17,14.5
"96",17.5,16.8
"97",20.9,17.5
"98",23.5,19
"99",27.5,22.4
"100",29.1,24.8
"101",30.5,25.9
"102",29.6,25.8
"103",27.5,25.3
"104",23.5,23.4
"105",20.4,22.3
"106",21.6,21.1
"107",20.1,20
"108",16,19.5
"109",16,16.5
"110",14,16.5
"111",12.6,13.7
"112",11.5,14.7
"113",12.9,13.5
"114",11,13
"115",12.5,12.7
"116",10.6,11.6
"117",14,12.8
"118",14.3,14
"119",18.5,16.7
"120",21.4,16.9
"121",21.7,18.3
"122",24.1,20.1
"123",24.2,21.9
"124",28,22.7
"125",26.9,24
"126",29.5,28
"127",28.5,28.8
"128",29.5,27.5
"129",24.4,25.4
"130",23.7,23
"131",20.7,21
"132",19.5,19.7
"133",17.1,17.5
"134",11.8,16.5
"135",11.5,15
"136",7.5,14
"137",7.9,11.9
"138",7.2,9.8
"139",8.4,10.2
"140",12.4,10.6
"141",13,11.5
"142",15.6,12.1
"143",18,14.9
"144",19.2,15.5
"145",19.8,16.4
"146",22,19
"147",23.9,19.8
"148",29.5,24
"149",29.9,28.1
"150",26.7,27.8
"151",28,25.9
"152",25.4,26
"153",23,23.2
"154",23,23
"155",20.4,20
"156",13.2,16.5
"157",14.4,17
"158",14.9,14.9
"159",8.8,14.4
"160",11,13.4
"161",11.1,12.1
"162",9,11.2
"163",10,11.1
"164",11.9,11.4
"165",11.8,11.3
"166",14,15.5
"167",15.8,18.6
"168",19.8,16.8
"169",20.2,17.9
"170",26.2,20.5
"171",24,22
"172",26,24
"173",27.5,24
"174",26.1,25
